query_id,product_id
115897,B01CKALONY
115897,B07STCJZYH
115897,B01CKALH5O
115897,B01CKAL8CG
115897,B01CKAL3RG
115897,B01CKALAX8
115897,B01CKALMOK
115897,B01CKALDMG
115897,B07TW78J7M
115897,B07RV5W7QW
115897,B07RY286LL
115897,B01CKAMVFO
115897,B07TYP19LJ
115897,B002KAODAQ
115897,B07TS2B7T1
115897,B07CPF254C
115895,B07N8TF44Z
115895,B07N8TZTZ6
115895,B07PBLT5NY
115895,B00YNT3E7U
115895,B07VGZ3DLC
115895,B07TMZMXQK
115895,B07SPCTL9F
115895,B01MUFYU6M
115895,B002BGCS5G
115895,B07RY3PY3K
115895,B0774PYL2Q
115895,B00DN9NAVG
115895,B0764FPBW4
115895,B00J4FJPMG
115895,B01A6LUD18
115895,B0044WVV5S
115895,B07CN8Y3PG
115895,B01CKAKNWM
115895,B01NBMQE57
115895,B091HJ591R
115895,B072LNNT6H
115895,B074FTHBM7
115895,B0787KRK1Y
115895,B08CNKJ1RX
115895,B01GFTMAE8
115895,B01CKAMR6C
115895,B08TVWNVH3
115895,B077ZHD83X
115895,B07RYFNY63
115895,B00RZ9YDVG
115895,B01EG7BC7M
115895,B08ZNHGJ4C
115895,B07JJTCV2J
115895,B016AFYFWM
115895,B0725RV7GW
115895,B016AFWASS
115895,B0815ZVX6F
115895,B083T9VV8X
115895,B00OLU40XI
115895,B07GT8PT36
115639,B08P25YR26
115639,B00167S7HO
115639,B08RXHJBXN
115639,B0011BBT4I
115639,B07WV2LQ9Y
115639,B08P3WFD7B
115639,B08MWL7R96
115639,B08H8LGK35
115639,B08VMTVJCN
115639,B0172V2UKC
115639,B07QLQMS5G
115639,B08C7T99Q2
115639,B08HCSQ583
115639,B004TRQAEU
115639,B08LDRJ5CL
115639,B08GBCRW47
115639,B08KTDWS7X
115639,B08J493PWL
115639,B08QV8G2L9
115639,B08FXN5YHY
115639,B088HGLNQV
115639,B0764KLF9P
115639,B08TH51CT5
115639,B078ZKCYX6
115639,B08LH9585J
115639,B08SMKMZDD
115639,B08QVXFZZF
115639,B078L2Q7MR
115639,B08HNF8PB1
115639,B08WWKD2D7
115639,B07GX2TP14
115639,B08P535476
115639,B08BFVTCPN
115639,B00HYFYKM8
115639,B08L3WPS2W
115639,B08RP6JJFL
115639,B08TVNYJQ2
115639,B08BG359VW
115639,B08QJSHBMS
115630,B088PNZ7N2
115630,B08CKGY2N8
115630,B017BAHQDA
115630,B0883BHSY5
115630,B0916CHZZ5
115630,B0883B57JC
115630,B087GMG3MV
115630,B08D3TZXXS
115630,B08FHKJXX2
115630,B08CVC33BX
115630,B089BLSZ1K
115630,B07V2NPCP5
115630,B07S97P9MG
115630,B0821J88QK
115630,B08D3SV534
115630,B07Z6MZVKL
115630,B08BTVDJJL
115630,B07ZP722X2
115630,B08JHDH4R2
115630,B08Y5VXL32
115630,B083B8L7Q9
115630,B088PNGSD3
115630,B08D9J6B92
115630,B08WRT63Z2
115630,B08SK63434
115630,B08V8CDP8Q
115630,B0947D2NZJ
115630,B08CV9WGRD
115630,B07RYLFM5C
115630,B088PNS2H3
115630,B0863G2M7F
115630,B08VJGDC4Y
115630,B07XT5ZSJD
115630,B08822GWJV
115630,B089QDVXYB
115630,B08TP6THQK
115630,B083V6LT1T
115630,B08V215TKW
115630,B088WLPZJL
115630,B08BYQH165
115524,B07PPVNNXL
115524,B01BM65JEW
